ID,LIMIT_BAL,PAY_0,BILL_AMT1,BILL_AMT2,PAY_AMT1,default payment next month
1,100000,1,8800,8727,4526,1
2,200000,-1,2314,1739,978,0
3,50000,3,26794,18904,346,0
4,200000,1,30651,32691,503,0
5,200000,-1,1238,1321,91,0
6,20000,-1,23288,25778,472,0
7,50000,1,10579,12052,3415,1
8,50000,1,29210,25060,355,1
9,50000,1,8259,7029,1594,1
10,200000,1,31246,33084,4224,0
11,100000,-1,17709,16912,116,0
12,50000,0,42184,41820,4072,1
13,500000,-1,6619,6997,1409,0
14,200000,2,15677,17605,590,0
15,20000,0,5549,4087,3483,0
16,100000,0,41648,31774,3144,0
17,500000,-1,39541,22372,4387,0
18,500000,0,11978,10838,3675,0
19,20000,0,29869,15686,4017,0
20,100000,1,36866,30448,1410,0
21,200000,0,25206,22177,887,0
22,10000,2,24069,16862,3753,1
23,100000,0,11262,10289,4034,1
24,20000,-1,4643,2420,4952,0
25,500000,1,40426,21269,2063,0
26,200000,1,40568,43644,1860,0
27,100000,0,28673,21565,3882,0
28,10000,1,15586,9179,1704,1
29,10000,0,16039,13883,4653,1
30,50000,0,32805,34084,4292,0
31,50000,0,40421,26317,2144,0
32,20000,-1,39975,37417,3754,1
33,100000,-1,35204,19705,3772,0
34,100000,-1,29070,15586,515,0
35,500000,0,4244,3700,4512,0
36,500000,0,7692,6757,2526,0
37,500000,0,40485,38307,4132,0
38,50000,2,27486,27713,1600,0
39,100000,-1,909,1075,4477,0
40,100000,0,5015,4320,1946,1
41,10000,1,30025,21800,54,1
42,50000,-1,725,766,4526,0
43,200000,-1,7655,5279,456,0
44,50000,-1,24918,20116,1596,0
45,200000,-1,31289,17363,4750,0
46,10000,2,29512,15279,4753,1
47,20000,1,10479,12301,2867,1
48,100000,0,32191,34934,3159,0
49,10000,2,11057,10915,2242,1
50,100000,1,14980,11778,1466,0
51,500000,-1,33718,20949,1643,0
52,20000,2,29408,17924,3362,0
53,20000,0,38290,25852,3761,1
54,10000,1,29763,26324,3957,1
55,20000,2,25789,25795,3948,1
56,200000,0,4668,4491,456,1
57,20000,-1,16863,11736,2472,0
58,100000,-1,12301,14373,287,0
59,100000,0,11357,11545,2747,0
60,100000,1,43798,38895,2207,0
61,100000,2,17992,16701,4438,1
62,200000,-1,40196,31904,1754,0
63,50000,0,28585,19249,585,1
64,500000,0,35869,26872,714,0
65,10000,-1,22867,23564,3807,0
66,100000,-1,26172,13349,3091,0
67,20000,0,22417,13029,505,0
68,100000,2,9188,4890,420,0
69,20000,0,32649,17255,3504,0
70,500000,0,12994,14278,363,0
71,500000,1,1582,1570,4109,0
72,500000,0,29223,24311,3531,0
73,20000,3,8381,4764,406,1
74,100000,3,42350,35749,424,0
75,500000,-1,42949,35709,4933,0
76,200000,0,41211,25602,1871,0
77,20000,0,16972,13640,1853,1
78,20000,-1,1187,925,4063,0
79,100000,-1,41810,38929,4736,0
80,20000,0,19554,18470,4930,0
81,20000,0,43516,23138,3766,1
82,500000,-1,43381,33066,1881,0
83,100000,-1,38458,36078,417,0
84,500000,2,13602,11592,3885,0
85,500000,-1,17636,19392,2792,0
86,100000,-1,38375,36882,2121,0
87,10000,0,14603,8967,4531,0
88,500000,3,8042,4418,555,0
89,200000,-1,25277,24006,2463,0
90,200000,0,42158,21861,56,0
91,20000,1,31473,28642,2343,1
92,200000,-1,25867,29958,281,0
93,20000,1,4824,4355,594,0
94,10000,0,27867,21506,587,1
95,100000,0,44557,42342,3246,0
96,100000,0,6733,5526,3730,0
97,100000,0,23565,20783,2916,0
98,200000,-1,39543,45831,4810,0
99,10000,1,33464,25776,1874,1
100,200000,0,31517,36964,1428,0
